Year,Firstname,Lastname,Category,Prize_Share,Motivation,Laureate_Id,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Birth_Year
1938,Corneille,Heymans,Medicine,1,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,333,male,1892-03-28,Belgium,Ghent,BE,1968-07-18,Belgium,Knokke,BE,Ghent University,Ghent,Belgium,1892
1938,Nansen International Office for Refugees,,Peace,1,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,503,org,,,,,,,,,,,,1921
1938,Pearl,Buck,Literature,1,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,610,female,1892-06-26,USA,Hillsboro WV,US,1973-03-06,USA,Danby VT,US,,,,1892
1939,Gerhard,Domagk,Medicine,1,for the discovery of the antibacterial effects of prontosil,334,male,1895-10-30,Germany (now Poland),Lagow,PL,1964-04-24,West Germany (now Germany),Burgberg,DE,Munster University,Munster,Germany,1895
1939,Ernest,Lawrence,Physics,1,for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements,47,male,1901-08-08,USA,Canton SD,US,1958-08-27,USA,Palo Alto CA,US,University of California,Berkeley CA,USA,1901
1939,Leopold,Ruzicka,Chemistry,2,for his work on polymethylenes and higher terpenes,200,male,1887-09-13,Austria-Hungary (now Croatia),Vukovar,HR,1976-09-26,Switzerland,Zurich,CH,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1887
1939,Adolf,Butenandt,Chemistry,2,for his work on sex hormones,199,male,1903-03-24,Germany,Bremerhaven-Lehe,DE,1995-01-18,Germany,Munich,DE,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1903
1939,Frans Eemil,Sillanpää,Literature,1,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,613,male,1888-09-16,Russian Empire (now Finland),Hämeenkyrö,FI,1964-06-03,Finland,Helsinki,FI,,,,1888
1943,Henrik,Dam,Medicine,2,for his discovery of vitamin K,335,male,1895-02-21,Denmark,Copenhagen,DK,1976-04-17,Denmark,Copenhagen,DK,Polytechnic Institute,Copenhagen,Denmark,1895
1943,Edward A.,Doisy,Medicine,2,for his discovery of the chemical nature of vitamin K,336,male,1893-11-13,USA,Hume IL,US,1986-10-23,USA,St. Louis MO,US,Saint Louis University,St. Louis MO,USA,1893
1943,George,de Hevesy,Chemistry,1,for his work on the use of isotopes as tracers in the study of chemical processes,201,male,1885-08-01,Austria-Hungary (now Hungary),Budapest,HU,1966-07-05,West Germany (now Germany),Freiburg im Breisgau,DE,Stockholm University,Stockholm,Sweden,1885
1943,Otto,Stern,Physics,1,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,48,male,1888-02-17,Germany (now Poland),Sorau (now Zory),PL,1969-08-17,USA,Berkeley CA,US,Carnegie Institute of Technology,Pittsburgh PA,USA,1888
1944,Joseph,Erlanger,Medicine,2,for their discoveries relating to the highly differentiated functions of single nerve fibres,337,male,1874-01-05,USA,San Francisco CA,US,1965-12-05,USA,St. Louis MO,US,Washington University,St. Louis MO,USA,1874
1944,Johannes V.,Jensen,Literature,1,for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style,614,male,1873-01-20,Denmark,Farsø,DK,1950-11-25,Denmark,Copenhagen,DK,,,,1873
1944,Herbert S.,Gasser,Medicine,2,for their discoveries relating to the highly differentiated functions of single nerve fibres,338,male,1888-07-05,USA,Platteville WI,US,1963-05-11,USA,New York NY,US,Rockefeller Institute for Medical Research,New York NY,USA,1888
1944,Otto,Hahn,Chemistry,1,for his discovery of the fission of heavy nuclei,202,male,1879-03-08,Germany,Frankfurt-on-the-Main,DE,1968-07-28,West Germany (now Germany),Göttingen,DE,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1879
1944,International Committee of the Red Cross,,Peace,1,for the great work it has performed during the war on behalf of humanity,482,org,,,,,,,,,,,,1863
1944,Isidor Isaac,Rabi,Physics,1,for his resonance method for recording the magnetic properties of atomic nuclei,49,male,1898-07-29,Austria-Hungary (now Poland),Rymanow,PL,1988-01-11,USA,New York NY,US,Columbia University,New York NY,USA,1898
1945,Wolfgang,Pauli,Physics,1,for the discovery of the Exclusion Principle also called the Pauli Principle,50,male,1900-04-25,Austria,Vienna,AT,1958-12-15,Switzerland,Zurich,CH,Princeton University,Princeton NJ,USA,1900
1945,Gabriela,Mistral,Literature,1,for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world,615,female,1889-04-07,Chile,Vicuña,CL,1957-01-10,USA,Hempstead NY,US,,,,1889
1945,Artturi,Virtanen,Chemistry,1,for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method,203,male,1895-01-15,Russian Empire (now Finland),Helsinki,FI,1973-11-11,Finland,Helsinki,FI,University of Helsinki,Helsinki,Finland,1895
1945,Cordell,Hull,Peace,1,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,505,male,1871-10-02,USA,Olympus TN,US,1955-07-23,USA,Bethesda MD,US,,,,1871
1945,Sir Alexander,Fleming,Medicine,3,for the discovery of penicillin and its curative effect in various infectious diseases,339,male,1881-08-06,Scotland,Lochfield,GB,1955-03-11,United Kingdom,London,GB,London University,London,United Kingdom,1881
1945,Ernst B.,Chain,Medicine,3,for the discovery of penicillin and its curative effect in various infectious diseases,340,male,1906-06-19,Germany,Berlin,DE,1979-08-12,Ireland,Mulrany,IE,University of Oxford,Oxford,United Kingdom,1906
1945,Sir Howard,Florey,Medicine,3,for the discovery of penicillin and its curative effect in various infectious diseases,341,male,1898-09-24,Australia,Adelaide,AU,1968-02-21,United Kingdom,Oxford,GB,University of Oxford,Oxford,United Kingdom,1898
1946,John R.,Mott,Peace,2,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,507,male,1865-05-25,USA,Livingston Manor NY,US,1955-01-31,USA,,US,,,,1865
1946,Percy W.,Bridgman,Physics,1,for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics,51,male,1882-04-21,USA,Cambridge MA,US,1961-08-20,USA,Randolph NH,US,Harvard University,Cambridge MA,USA,1882
1946,James B.,Sumner,Chemistry,2,for his discovery that enzymes can be crystallized,204,male,1887-11-19,USA,Canton MA,US,1955-08-12,USA,Buffalo NY,US,Cornell University,Ithaca NY,USA,1887
1946,John H.,Northrop,Chemistry,4,for their preparation of enzymes and virus proteins in a pure form,205,male,1891-07-05,USA,Yonkers NY,US,1987-05-27,USA,Wickenberg AZ,US,Rockefeller Institute for Medical Research,Princeton NJ,USA,1891
1946,Wendell M.,Stanley,Chemistry,4,for their preparation of enzymes and virus proteins in a pure form,206,male,1904-08-16,USA,Ridgeville IN,US,1971-06-15,Spain,Salamanca,ES,Rockefeller Institute for Medical Research,Princeton NJ,USA,1904
1946,Hermann J.,Muller,Medicine,1,for the discovery of the production of mutations by means of X-ray irradiation,342,male,1890-12-21,USA,New York NY,US,1967-04-05,USA,Indianapolis IN,US,Indiana University,Bloomington IN,USA,1890
1946,Emily Greene,Balch,Peace,2,for her lifelong work for the cause of peace,506,female,1867-01-08,USA,Jamaica Plain MA (now Boston MA),US,1961-01-09,USA,Cambridge MA,US,,,,1867
1946,Hermann,Hesse,Literature,1,for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style,617,male,1877-07-02,Germany,Calw,DE,1962-08-09,Switzerland,Montagnola,CH,,,,1877
1947,Gerty,Cori,Medicine,4,for their discovery of the course of the catalytic conversion of glycogen,344,female,1896-08-15,Austria-Hungary (now Czech Republic),Prague,CZ,1957-10-26,USA,St. Louis MO,US,Washington University,St. Louis MO,USA,1896
1947,Bernardo,Houssay,Medicine,2,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,345,male,1887-04-10,Argentina,Buenos Aires,AR,1971-09-21,Argentina,Buenos Aires,AR,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1887
1947,Edward V.,Appleton,Physics,1,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,52,male,1892-09-06,United Kingdom,Bradford,GB,1965-04-21,Scotland,Edinburgh,GB,Department of Scientific and Industrial Research,London,United Kingdom,1892
1947,André,Gide,Literature,1,for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight,618,male,1869-11-22,France,Paris,FR,1951-02-19,France,Paris,FR,,,,1869
1947,Sir Robert,Robinson,Chemistry,1,for his investigations on plant products of biological importance especially the alkaloids,207,male,1886-09-13,United Kingdom,Rufford near Chesterfield,GB,1975-02-08,United Kingdom,Great Missenden,GB,University of Oxford,Oxford,United Kingdom,1886
1947,Friends Service Council,,Peace,2,for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations,508,org,,,,,,,,,,,,1647
1947,American Friends Service Committee,,Peace,2,for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations,509,org,,,,,,,,,,,,1917
1947,Carl,Cori,Medicine,4,for their discovery of the course of the catalytic conversion of glycogen,343,male,1896-12-05,Austria-Hungary (now Czech Republic),Prague,CZ,1984-10-20,USA,Cambridge MA,US,Washington University,St. Louis MO,USA,1896
1948,Paul,Müller,Medicine,1,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,346,male,1899-01-12,Switzerland,Olten,CH,1965-10-12,Switzerland,Basel,CH,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1899
1948,T.S.,Eliot,Literature,1,for his outstanding pioneer contribution to present-day poetry,619,male,1888-09-26,USA,St. Louis MO,US,1965-01-04,United Kingdom,London,GB,,,,1888
1948,Arne,Tiselius,Chemistry,1,for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins,208,male,1902-08-10,Sweden,Stockholm,SE,1971-10-29,Sweden,Uppsala,SE,Uppsala University,Uppsala,Sweden,1902
1948,Patrick M.S.,Blackett,Physics,1,for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation,53,male,1897-11-18,United Kingdom,London,GB,1974-07-13,United Kingdom,London,GB,Victoria University,Manchester,United Kingdom,1897
1949,Egas,Moniz,Medicine,2,for his discovery of the therapeutic value of leucotomy in certain psychoses,348,male,1874-11-29,Portugal,Avanca,PT,1955-12-13,Portugal,Lisbon,PT,University of Lisbon,Lisbon,Portugal,1874
1949,William F.,Giauque,Chemistry,1,for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures,209,male,1895-05-12,Canada,Niagara Falls,CA,1982-03-28,USA,Berkeley CA,US,University of California,Berkeley CA,USA,1895
1949,Walter,Hess,Medicine,2,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,347,male,1881-03-17,Switzerland,Frauenfeld,CH,1973-08-12,Switzerland,Ascona,CH,University of Zurich,Zurich,Switzerland,1881
1949,William,Faulkner,Literature,1,for his powerful and artistically unique contribution to the modern American novel,620,male,1897-09-25,USA,New Albany MS,US,1962-07-06,USA,Byhalia MS,US,,,,1897
1949,John,Boyd Orr,Peace,1,for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war,510,male,1880-09-23,Scotland,Kilmaurs,GB,1971-06-25,Scotland,Edzell,GB,,,,1880
1949,Hideki,Yukawa,Physics,1,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,54,male,1907-01-23,Japan,Tokyo,JP,1981-09-08,Japan,Kyoto,JP,Columbia University,New York NY,USA,1907
1950,Bertrand,Russell,Literature,1,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,621,male,1872-05-18,United Kingdom,Trelleck,GB,1970-02-02,United Kingdom,Penrhyndeudraeth,GB,,,,1872
1950,Ralph,Bunche,Peace,1,for his work as mediator in Palestine in 1948-1949,511,male,1904-08-07,USA,Detroit MI,US,1971-12-09,USA,New York NY,US,Harvard University,Cambridge MA,USA,1904
1950,Philip S.,Hench,Medicine,3,for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects,351,male,1896-02-28,USA,Pittsburgh PA,US,1965-03-30,Jamaica,Ocho Rios,JM,Mayo Clinic,Rochester MN,USA,1896
1950,Tadeus,Reichstein,Medicine,3,for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects,350,male,1897-07-20,Poland,Wloclawek,PL,1996-08-01,Switzerland,Basel,CH,Basel University,Basel,Switzerland,1897
1950,Edward C.,Kendall,Medicine,3,for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects,349,male,1886-03-08,USA,South Norwalk CT,US,1972-05-04,USA,Princeton NJ,US,Mayo Clinic,Rochester MN,USA,1886
1950,Kurt,Alder,Chemistry,2,for their discovery and development of the diene synthesis,211,male,1902-07-10,Prussia (now Poland),Königshütte (now Chorzów),PL,1958-06-20,West Germany (now Germany),Cologne,DE,Cologne University,Cologne,Germany,1902
1950,Cecil,Powell,Physics,1,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,55,male,1903-12-05,United Kingdom,Tonbridge,GB,1969-08-09,Italy,,IT,Bristol University,Bristol,United Kingdom,1903
1950,Otto,Diels,Chemistry,2,for their discovery and development of the diene synthesis,210,male,1876-01-23,Germany,Hamburg,DE,1954-03-07,West Germany (now Germany),Kiel,DE,Kiel University,Kiel,Germany,1876
1951,Léon,Jouhaux,Peace,1,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,512,male,1879-07-01,France,Paris,FR,1954-04-28,France,Paris,FR,,,,1879
1951,Pär,Lagerkvist,Literature,1,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,622,male,1891-05-23,Sweden,Växjö,SE,1974-07-11,Sweden,Stockholm,SE,,,,1891
1951,Ernest T.S.,Walton,Physics,2,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,57,male,1903-10-06,Ireland,Dungarvan,IE,1995-06-25,Northern Ireland,Belfast,GB,Trinity College,Dublin,Ireland,1903
1951,John,Cockcroft,Physics,2,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,56,male,1897-05-27,United Kingdom,Todmorden,GB,1967-09-18,United Kingdom,Cambridge,GB,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,1897
1951,Edwin M.,McMillan,Chemistry,2,for their discoveries in the chemistry of the transuranium elements,212,male,1907-09-18,USA,Redondo Beach CA,US,1991-09-07,USA,El Cerrito CA,US,University of California,Berkeley CA,USA,1907
1951,Max,Theiler,Medicine,1,for his discoveries concerning yellow fever and how to combat it,352,male,1899-01-30,South Africa,Pretoria,ZA,1972-08-11,USA,New Haven CT,US,Laboratories of the Division of Medicine and Public Health Rockefeller Foundation,New York NY,USA,1899
1951,Glenn T.,Seaborg,Chemistry,2,for their discoveries in the chemistry of the transuranium elements,213,male,1912-04-19,USA,Ishpeming MI,US,1999-02-25,USA,Lafayette CA,US,University of California,Berkeley CA,USA,1912
1952,Felix,Bloch,Physics,2,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,58,male,1905-10-23,Switzerland,Zurich,CH,1983-09-10,Switzerland,Zurich,CH,Stanford University,Stanford CA,USA,1905
1952,Richard L.M.,Synge,Chemistry,2,for their invention of partition chromatography,215,male,1914-10-28,United Kingdom,Liverpool,GB,1994-08-18,United Kingdom,Norwich,GB,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1914
1952,Albert,Schweitzer,Peace,1,for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one,513,male,1875-01-14,Germany (now France),Kaysersberg,FR,1965-09-04,Gabon,Lambaréné,GA,,,,1875
1952,Selman A.,Waksman,Medicine,1,for his discovery of streptomycin the first antibiotic effective against tuberculosis,353,male,1888-07-22,Russian Empire (now Ukraine),Priluka (now Nova Pryluka),UA,1973-08-16,USA,Hyannis MA,US,Rutgers University,New Brunswick NJ,USA,1888
1952,Archer J.P.,Martin,Chemistry,2,for their invention of partition chromatography,214,male,1910-03-01,United Kingdom,London,GB,2002-07-28,United Kingdom,Llangarron,GB,National Institute for Medical Research,London,United Kingdom,1910
1952,E. M.,Purcell,Physics,2,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,59,male,1912-08-30,USA,Taylorville IL,US,1997-03-07,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA,1912
1952,François,Mauriac,Literature,1,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,623,male,1885-10-11,France,Bordeaux,FR,1970-09-01,France,Paris,FR,,,,1885
1953,George C.,Marshall,Peace,1,for proposing and supervising the plan for the economic recovery of Europe,514,male,1880-12-31,USA,Uniontown PA,US,1959-10-16,USA,Washington D.C.,US,,,,1880
1953,Hans,Krebs,Medicine,2,for his discovery of the citric acid cycle,354,male,1900-08-25,Germany,Hildesheim,DE,1981-11-22,United Kingdom,Oxford,GB,Sheffield University,Sheffield,United Kingdom,1900
1953,Fritz,Lipmann,Medicine,2,for his discovery of co-enzyme A and its importance for intermediary metabolism,355,male,1899-06-12,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,1986-07-24,USA,Poughkeepsie NY,US,Harvard Medical School,Boston MA,USA,1899
1953,Frits,Zernike,Physics,1,for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope,60,male,1888-07-16,the Netherlands,Amsterdam,NL,1966-03-10,the Netherlands,Groningen,NL,Groningen University,Groningen,the Netherlands,1888
1953,Hermann,Staudinger,Chemistry,1,for his discoveries in the field of macromolecular chemistry,216,male,1881-03-23,Germany,Worms,DE,1965-09-08,West Germany (now Germany),Freiburg im Breisgau,DE,University of Freiburg,Breisgau,Germany,1881
1953,Winston,Churchill,Literature,1,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,624,male,1874-11-30,United Kingdom,Woodstock,GB,1965-01-24,United Kingdom,London,GB,,,,1874
1954,John F.,Enders,Medicine,3,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,356,male,1897-02-10,USA,West Hartford CT,US,1985-09-08,USA,Waterford CT,US,Harvard Medical School,Boston MA,USA,1897
1954,Thomas H.,Weller,Medicine,3,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,357,male,1915-06-15,USA,Ann Arbor MI,US,2008-08-23,USA,Needham MA,US,Research Division of Infectious Diseases Children's Medical Center,Boston MA,USA,1915
1954,Frederick C.,Robbins,Medicine,3,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,358,male,1916-08-25,USA,Auburn AL,US,2003-08-04,USA,Cleveland OH,US,Western Reserve University,Cleveland OH,USA,1916
1954,Linus,Pauling,Chemistry,1,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,217,male,1901-02-28,USA,Portland OR,US,1994-08-19,USA,Big Sur CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1901
1954,Max,Born,Physics,2,for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction,61,male,1882-12-11,Germany (now Poland),Breslau (now Wroclaw),PL,1970-01-05,West Germany (now Germany),Göttingen,DE,Edinburgh University,Edinburgh,United Kingdom,1882
1954,Walther,Bothe,Physics,2,for the coincidence method and his discoveries made therewith,62,male,1891-01-08,Germany,Oranienburg,DE,1957-02-08,West Germany (now Germany),Heidelberg,DE,University of Heidelberg,Heidelberg,Germany,1891
1954,Ernest,Hemingway,Literature,1,for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style,625,male,1899-07-21,USA,Oak Park IL,US,1961-07-02,USA,Ketchum ID,US,,,,1899
1954,Office of the United Nations High Commissioner for Refugees,,Peace,1,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,515,org,1950-12-14,,,,,,,,,,,1950
1955,Halldór,Laxness,Literature,1,for his vivid epic power which has renewed the great narrative art of Iceland,626,male,1902-04-23,Iceland,Reykjavik,IS,1998-02-08,Iceland,Reykjavik,IS,,,,1902
1955,Polykarp,Kusch,Physics,2,for his precision determination of the magnetic moment of the electron,64,male,1911-01-26,Germany,Blankenburg,DE,1993-03-20,USA,Dallas TX,US,Columbia University,New York NY,USA,1911
1955,Willis E.,Lamb,Physics,2,for his discoveries concerning the fine structure of the hydrogen spectrum,63,male,1913-07-12,USA,Los Angeles CA,US,2008-05-15,USA,Tucson AZ,US,Stanford University,Stanford CA,USA,1913
1955,Hugo,Theorell,Medicine,1,for his discoveries concerning the nature and mode of action of oxidation enzymes,359,male,1903-07-06,Sweden,Linköping,SE,1982-08-15,Sweden,Stockholm,SE,Karolinska Institutet Nobel Medical Institute,Stockholm,Sweden,1903
1955,Vincent,du Vigneaud,Chemistry,1,for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone,218,male,1901-05-18,USA,Chicago IL,US,1978-12-11,USA,White Plains NY,US,Cornell University,Ithaca NY,USA,1901
1956,Werner,Forssmann,Medicine,3,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,361,male,1904-08-29,Germany,Berlin,DE,1979-06-01,West Germany (now Germany),Schopfheim,DE,Mainz University,Mainz,Germany,1904
1956,André F.,Cournand,Medicine,3,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,360,male,1895-09-24,France,Paris,FR,1988-02-19,USA,Great Barrington MA,US,Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,USA,1895
1956,Walter H.,Brattain,Physics,3,for their researches on semiconductors and their discovery of the transistor effect,67,male,1902-02-10,China,Amoy,CN,1987-10-13,USA,Seattle WA,US,Bell Telephone Laboratories,Murray Hill NJ,USA,1902
1956,Nikolay,Semenov,Chemistry,2,for their researches into the mechanism of chemical reactions,220,male,1896-04-03,Russia,Saratov,RU,1986-09-25,USSR (now Russia),Moscow,RU,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),1896
1956,Sir Cyril,Hinshelwood,Chemistry,2,for their researches into the mechanism of chemical reactions,219,male,1897-05-19,United Kingdom,London,GB,1967-10-09,United Kingdom,London,GB,University of Oxford,Oxford,United Kingdom,1897
1956,John,Bardeen,Physics,3,for their researches on semiconductors and their discovery of the transistor effect,66,male,1908-05-23,USA,Madison WI,US,1991-01-30,USA,Boston MA,US,University of Illinois,Urbana IL,USA,1908
1956,William B.,Shockley,Physics,3,for their researches on semiconductors and their discovery of the transistor effect,65,male,1910-02-13,United Kingdom,London,GB,1989-08-12,USA,Palo Alto CA,US,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,1910
1956,Dickinson W.,Richards,Medicine,3,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,362,male,1895-10-30,USA,Orange NJ,US,1973-02-23,USA,Lakeville CT,US,Columbia University,New York NY,USA,1895
1956,Juan Ramón,Jiménez,Literature,1,for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity,627,male,1881-12-24,Spain,Moguer,ES,1958-05-29,Puerto Rico,San Juan,PR,,,,1881
1957,Chen Ning,Yang,Physics,2,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,68,male,1922-09-22,China,Hofei Anhwei,CN,,,,,Institute for Advanced Study,Princeton NJ,USA,1922
1957,Lester Bowles,Pearson,Peace,1,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,516,male,1897-04-23,Canada,Toronto,CA,1972-12-27,Canada,Ottawa,CA,,,,1897
1957,Lord,Todd,Chemistry,1,for his work on nucleotides and nucleotide co-enzymes,221,male,1907-10-02,Scotland,Glasgow,GB,1997-01-10,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1907
1957,Tsung-Dao,Lee,Physics,2,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,69,male,1926-11-24,China,Shanghai,CN,,,,,Columbia University,New York NY,USA,1926
1957,Albert,Camus,Literature,1,for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times,628,male,1913-11-07,French Algeria (now Algeria),Mondovi,DZ,1960-01-04,France,Sens,FR,,,,1913
1957,Daniel,Bovet,Medicine,1,for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles,363,male,1907-03-23,Switzerland,Neuchâtel,CH,1992-04-08,Italy,Rome,IT,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1907
1958,Frederick,Sanger,Chemistry,1,for his work on the structure of proteins especially that of insulin,222,male,1918-08-13,United Kingdom,Rendcombe,GB,2013-11-19,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1918
1958,Georges,Pire,Peace,1,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,517,male,1910-02-10,Belgium,Dinant,BE,1969-01-30,Belgium,Leuven,BE,,,,1910
1958,Edward,Tatum,Medicine,4,for their discovery that genes act by regulating definite chemical events,365,male,1909-12-14,USA,Boulder CO,US,1975-11-05,USA,New York NY,US,Rockefeller Institute for Medical Research,New York NY,USA,1909
1958,Joshua,Lederberg,Medicine,2,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,366,male,1925-05-23,USA,Montclair NJ,US,2008-02-02,USA,New York NY,US,University of Wisconsin,Madison WI,USA,1925
1958,Boris,Pasternak,Literature,1,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,629,male,1890-02-10,Russia,Moscow,RU,1960-05-30,Russia,Peredelkino,RU,,,,1890
1958,Il´ja M.,Frank,Physics,3,for the discovery and the interpretation of the Cherenkov effect,721,male,1908-10-23,Russia,Leningrad (now St. Petersburg),RU,1990-06-22,USSR (now Russia),Moscow,RU,Lomonosov Moscow State University,Moscow,USSR (now Russia),1908
1958,Igor Y.,Tamm,Physics,3,for the discovery and the interpretation of the Cherenkov effect,71,male,1895-07-08,Russia,Vladivostok,RU,1971-04-12,USSR (now Russia),Moscow,RU,Lomonosov Moscow State University,Moscow,USSR (now Russia),1895
1958,Pavel A.,Cherenkov,Physics,3,for the discovery and the interpretation of the Cherenkov effect,70,male,1904-07-28,Russia,Novaya Chigla,RU,1990-01-06,USSR (now Russia),,RU,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1904
1958,George,Beadle,Medicine,4,for their discovery that genes act by regulating definite chemical events,364,male,1903-10-22,USA,Wahoo NE,US,1989-06-09,USA,Pomona CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1903
1959,Arthur,Kornberg,Medicine,2,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,368,male,1918-03-03,USA,Brooklyn NY,US,2007-10-26,USA,Stanford CA,US,Stanford University,Stanford CA,USA,1918
1959,Jaroslav,Heyrovsky,Chemistry,1,for his discovery and development of the polarographic methods of analysis,223,male,1890-12-20,Austria-Hungary (now Czech Republic),Prague,CZ,1967-03-27,Czechoslovakia (now Czech Republic),Prague,CZ,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),1890
1959,Owen,Chamberlain,Physics,2,for their discovery of the antiproton,73,male,1920-07-10,USA,San Francisco CA,US,2006-02-28,USA,Berkeley CA,US,University of California,Berkeley CA,USA,1920
1959,Emilio,Segrè,Physics,2,for their discovery of the antiproton,72,male,1905-02-01,Italy,Tivoli,IT,1989-04-22,USA,Lafayette CA,US,University of California,Berkeley CA,USA,1905
